team_id,bye_week,city,conference,division,draft_kings_name,draft_kings_player_id,fan_duel_name,fan_duel_player_id,fantasy_draft_name,fantasy_draft_player_id,full_name,global_team_id,key,name,offensive_scheme,primary_color,quaternary_color,secondary_color,stadium_id,tertiary_color,wikipedia_logo_url,wikipedia_word_mark_url,yahoo_name,yahoo_player_id
1,9,Arizona,NFC,West,Cardinals ,355,Arizona Cardinals,12546,Arizona Cardinals,1256164,Arizona Cardinals,1,ARI,Cardinals,2TE,97233F,,FFFFFF,29,0,https://upload.wikimedia.org/wikipedia/en/7/72/Arizona_Cardinals_logo.svg,https://upload.wikimedia.org/wikipedia/commons/c/cd/Arizona_Cardinals_logo_%282005%29.png,Arizona Cardinals,
2,8,Atlanta,NFC,South,Falcons ,323,Atlanta Falcons,12525,Atlanta Falcons,1256147,Atlanta Falcons,2,ATL,Falcons,3WR,0,FFFFFF,A71930,45,A5ACAF,https://upload.wikimedia.org/wikipedia/en/c/c5/Atlanta_Falcons_logo.svg,https://upload.wikimedia.org/wikipedia/commons/f/fe/Atlanta_Falcons_white_wordmark.png,Atlanta Falcons,
3,10,Baltimore,AFC,North,Ravens ,366,Baltimore Ravens,12555,Baltimore Ravens,1256171,Baltimore Ravens,3,BAL,Ravens,3WR,241773,,0,7,9E7C0C,https://upload.wikimedia.org/wikipedia/en/1/16/Baltimore_Ravens_logo.svg,https://upload.wikimedia.org/wikipedia/commons/2/2d/Baltimore_Ravens_wordmark.png,Baltimore Ravens,
4,11,Buffalo,AFC,East,Bills ,324,Buffalo Bills,12526,Buffalo Bills,1256148,Buffalo Bills,4,BUF,Bills,3WR,00338D,00274D,C60C30,1,FFFFFF,https://upload.wikimedia.org/wikipedia/en/7/77/Buffalo_Bills_logo.svg,https://upload.wikimedia.org/wikipedia/commons/c/ce/Buffalo_Bills_blue.png,Buffalo Bills,
5,4,Carolina,NFC,South,Panthers ,364,Carolina Panthers,12553,Carolina Panthers,1243553,Carolina Panthers,5,CAR,Panthers,3WR,0085CA,FFFFFF,0,26,BFC0BF,https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/Carolina_Panthers_logo.svg/191px-Carolina_Panthers_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/9/95/Carolina_Panthers_2012_wordmark.png,Carolina Panthers,
6,5,Chicago,NFC,North,Bears ,326,Chicago Bears,12527,Chicago Bears,1256149,Chicago Bears,6,CHI,Bears,3WR,0B162A,,C83803,20,FFFFFF,https://upload.wikimedia.org/wikipedia/commons/5/5c/Chicago_Bears_logo.svg,https://upload.wikimedia.org/wikipedia/commons/d/d9/Chicago_Bears_orange_wordmark.png,Chicago Bears,
7,9,Cincinnati,AFC,North,Bengals ,327,Cincinnati Bengals,12528,Cincinnati Bengals,1256150,Cincinnati Bengals,7,CIN,Bengals,3WR,FB4F14,,0,5,FFFFFF,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Cincinnati_Bengals_logo.svg/100px-Cincinnati_Bengals_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/7/76/Cincinnati_Bengals_wordmark_%28c._2004%29.png,Cincinnati Bengals,
8,11,Cleveland,AFC,North,Browns ,329,Cleveland Browns,12529,Cleveland Browns,1256151,Cleveland Browns,8,CLE,Browns,3WR,311D00,,FF3C00,6,FFFFFF,https://upload.wikimedia.org/wikipedia/en/d/d9/Cleveland_Browns_logo.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Cleveland_Browns_wordmark.svg/135px-Cleveland_Browns_wordmark.svg.png,Cleveland Browns,
9,8,Dallas,NFC,East,Cowboys ,331,Dallas Cowboys,12530,Dallas Cowboys,1256152,Dallas Cowboys,9,DAL,Cowboys,3WR,2244,00338D,B0B7BC,17,FFFFFF,https://upload.wikimedia.org/wikipedia/commons/1/15/Dallas_Cowboys.svg,https://upload.wikimedia.org/wikipedia/commons/b/be/Cowboys_wordmark.svg,Dallas Cowboys,
10,10,Denver,AFC,West,Broncos ,332,Denver Broncos,12531,Denver Broncos,1255647,Denver Broncos,10,DEN,Broncos,3WR,FB4F14,,2244,13,FFFFFF,https://upload.wikimedia.org/wikipedia/en/4/44/Denver_Broncos_logo.svg,https://upload.wikimedia.org/wikipedia/commons/c/c4/Denver_Broncos_wordmark_%28c._1997%29.png,Denver Broncos,
11,6,Detroit,NFC,North,Lions ,334,Detroit Lions,12532,Detroit Lions,1256153,Detroit Lions,11,DET,Lions,3WR,0076B6,,B0B7BC,21,FFFFFF,https://upload.wikimedia.org/wikipedia/en/7/71/Detroit_Lions_logo.svg,https://upload.wikimedia.org/wikipedia/commons/c/c2/Detroit_Lions_new_wordmark.png,Detroit Lions,
12,7,Green Bay,NFC,North,Packers ,335,Green Bay Packers,12533,Green Bay Packers,1256154,Green Bay Packers,12,GB,Packers,3WR,203731,,FFB612,22,FFFFFF,https://upload.wikimedia.org/wikipedia/commons/5/50/Green_Bay_Packers_logo.svg,https://upload.wikimedia.org/wikipedia/commons/3/35/Green_Bay_Packers_green_wordmark.png,Green Bay Packers,
13,10,Houston,AFC,South,Texans ,325,Houston Texans,12556,Houston Texans,1256172,Houston Texans,13,HOU,Texans,3WR,03202F,,A71930,11,FFFFFF,https://upload.wikimedia.org/wikipedia/en/2/28/Houston_Texans_logo.svg,https://upload.wikimedia.org/wikipedia/commons/1/19/Houston_Texans_wordmark.png,Houston Texans,
14,9,Indianapolis,AFC,South,Colts ,338,Indianapolis Colts,12535,Indianapolis Colts,1256156,Indianapolis Colts,14,IND,Colts,2TE,002C5F,,FFFFFF,9,,https://upload.wikimedia.org/wikipedia/commons/0/00/Indianapolis_Colts_logo.svg,https://upload.wikimedia.org/wikipedia/commons/9/96/Indianapolis_Colts_wordmark.png,Indianapolis Colts,
15,9,Jacksonville,AFC,South,Jaguars ,365,Jacksonville Jaguars,12554,Jacksonville Jaguars,1256170,Jacksonville Jaguars,15,JAX,Jaguars,3WR,6778,,0,10,9F792C,https://upload.wikimedia.org/wikipedia/en/7/74/Jacksonville_Jaguars_logo.svg,https://upload.wikimedia.org/wikipedia/commons/2/2b/Jacksonville_Jaguars_wordmark_2013.png,Jacksonville Jaguars,
16,12,Kansas City,AFC,West,Chiefs ,339,Kansas City Chiefs,12536,Kansas City Chiefs,1255652,Kansas City Chiefs,16,KC,Chiefs,3WR,E31837,,FFB612,15,FFFFFF,https://upload.wikimedia.org/wikipedia/en/e/e1/Kansas_City_Chiefs_logo.svg,https://upload.wikimedia.org/wikipedia/commons/1/1a/Kansas_City_Chiefs_red_wordmark.png,Kansas City Chiefs,
29,8,Los Angeles,AFC,West,Chargers ,357,Los Angeles Chargers,12548,Los Angeles Chargers,1256166,Los Angeles Chargers,29,LAC,Chargers,3WR,2244,FFB612,0073CF,43,FFFFFF,https://upload.wikimedia.org/wikipedia/en/7/72/NFL_Chargers_logo.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Los_Angeles_Chargers_wordmark.svg/135px-Los_Angeles_Chargers_wordmark.svg.png,Los Angeles Chargers,
32,12,Los Angeles,NFC,West,Rams ,343,Los Angeles Rams,12538,Los Angeles Rams,1255654,Los Angeles Rams,32,LAR,Rams,3WR,2244,,B3995D,38,FFFFFF,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/192px-Los_Angeles_Rams_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Los_Angeles_Rams_wordmark.svg/193px-Los_Angeles_Rams_wordmark.svg.png,Los Angeles Rams,
19,11,Miami,AFC,East,Dolphins ,345,Miami Dolphins,12539,Miami Dolphins,1256158,Miami Dolphins,19,MIA,Dolphins,3WR,8.00E+97,5778,F58220,2,FFFFFF,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/0/09/Dolphins_textlogo13.png,Miami Dolphins,
20,10,Minnesota,NFC,North,Vikings ,347,Minnesota Vikings,12540,Minnesota Vikings,1255656,Minnesota Vikings,20,MIN,Vikings,3WR,4F2683,,FFC62F,42,FFFFFF,https://upload.wikimedia.org/wikipedia/en/4/48/Minnesota_Vikings_logo.svg,https://upload.wikimedia.org/wikipedia/commons/1/13/Minnesota_Vikings_second_2004_wordmark.png,Minnesota Vikings,
21,11,New England,AFC,East,Patriots ,348,New England Patriots,12541,New England Patriots,1256159,New England Patriots,21,NE,Patriots,3WR,2244,FFFFFF,C60C30,4,B0B7BC,https://upload.wikimedia.org/wikipedia/en/b/b9/New_England_Patriots_logo.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/New_England_Patriots_wordmark.svg/193px-New_England_Patriots_wordmark.svg.png,New England Patriots,
22,6,New Orleans,NFC,South,Saints ,350,New Orleans Saints,12542,New Orleans Saints,1256160,New Orleans Saints,22,NO,Saints,3WR,D3BC8D,,0,27,FFFFFF,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/New_Orleans_Saints_logo.svg/192px-New_Orleans_Saints_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/1/10/New_Orleans_Saints_first_wordmark.png,New Orleans Saints,
23,9,New York,NFC,East,Giants ,351,New York Giants,12543,New York Giants,1256161,New York Giants,23,NYG,Giants,3WR,0B2265,,A71930,3,FFFFFF,https://upload.wikimedia.org/wikipedia/commons/6/60/New_York_Giants_logo.svg,https://upload.wikimedia.org/wikipedia/commons/4/4f/Nygiants_textlogo.png,New York Giants,
24,11,New York,AFC,East,Jets ,352,New York Jets,12544,New York Jets,1256162,New York Jets,24,NYJ,Jets,3WR,203731,,FFFFFF,3,,https://upload.wikimedia.org/wikipedia/en/6/6b/New_York_Jets_logo.svg,https://upload.wikimedia.org/wikipedia/commons/8/80/New_York_Jets_wordmark.gif,New York Jets,
25,7,Oakland,AFC,West,Raiders ,341,Oakland Raiders,12537,Oakland Raiders,1256157,Oakland Raiders,25,OAK,Raiders,3WR,A5ACAF,,0,16,FFFFFF,https://upload.wikimedia.org/wikipedia/en/thumb/e/ec/Oakland_Raiders_logo.svg/100px-Oakland_Raiders_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/3/3e/Raiders_wordmark.gif,Oakland Raiders,
26,9,Philadelphia,NFC,East,Eagles ,354,Philadelphia Eagles,12545,Philadelphia Eagles,1256163,Philadelphia Eagles,26,PHI,Eagles,3WR,004C54,FFFFFF,A5ACAF,18,0,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Philadelphia_Eagles_logo.svg/191px-Philadelphia_Eagles_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/8/87/Eagles_wordmark.gif,Philadelphia Eagles,
28,7,Pittsburgh,AFC,North,Steelers ,356,Pittsburgh Steelers,12547,Pittsburgh Steelers,1256165,Pittsburgh Steelers,28,PIT,Steelers,3WR,0,,FFB612,8,FFFFFF,https://upload.wikimedia.org/wikipedia/commons/d/de/Pittsburgh_Steelers_logo.svg,https://upload.wikimedia.org/wikipedia/commons/9/92/Pittsburgh_Steelers_Script.svg,Pittsburgh Steelers,
30,7,Seattle,NFC,West,Seahawks ,361,Seattle Seahawks,12550,Seattle Seahawks,1256168,Seattle Seahawks,30,SEA,Seahawks,3WR,2244,,69BE28,31,A5ACAF,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Seattle_Seahawks_logo.svg/100px-Seattle_Seahawks_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/d/d0/Seattle_seahawks_wordmark_2012.png,Seattle Seahawks,
31,11,San Francisco,NFC,West,49ers ,359,San Francisco 49ers,12549,San Francisco 49ers,1256167,San Francisco 49ers,31,SF,49ers,3WR,AA0000,FFFFFF,B3995D,37,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/San_Francisco_49ers_logo.svg/460px-San_Francisco_49ers_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/e/e2/San_Francisco_49ers_wordmark-2009.png,San Francisco 49ers,
33,5,Tampa Bay,NFC,South,Buccaneers ,362,Tampa Bay Buccaneers,12551,Tampa Bay Buccaneers,1256169,Tampa Bay Buccaneers,33,TB,Buccaneers,2TE,D50A0A,,34302B,24,FF7900,https://upload.wikimedia.org/wikipedia/en/a/a2/Tampa_Bay_Buccaneers_logo.svg,https://upload.wikimedia.org/wikipedia/commons/6/6d/Buccaneers_wordmark_2014.png,Tampa Bay Buccaneers,
34,8,Tennessee,AFC,South,Titans ,336,Tennessee Titans,12534,Tennessee Titans,1256155,Tennessee Titans,34,TEN,Titans,3WR,2244,A5ACAF,4B92DB,12,C60C30,https://upload.wikimedia.org/wikipedia/en/c/c1/Tennessee_Titans_logo.svg,https://upload.wikimedia.org/wikipedia/commons/f/f2/Tennessee_Titans_Alternate_Logo.jpg,Tennessee Titans,
35,4,Washington,NFC,East,Redskins ,363,Washington Redskins,12552,Washington Redskins,1243552,Washington Redskins,35,WAS,Redskins,3WR,5A1414,,FFB612,19,FFFFFF,https://upload.wikimedia.org/wikipedia/en/thumb/6/63/Washington_Redskins_logo.svg/1050px-Washington_Redskins_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/3/30/Redskins_scriptlogo.png,Washington Redskins,
